level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2363	3189	-1	
2	1	1	0	0	0	138	283	2123	2752	-1	
3	1	1	1	0	0	142	283	2119	2752	-1	
4	1	1	1	1	0	156	283	2051	44	-1	
5	1	1	1	1	1	2132	279	75	35	89.842339	الجريدة
5	1	1	1	1	2	2027	279	95	35	91.957176	الرسمية
5	1	1	1	1	3	1590	292	22	22	90.619438	ع
5	1	1	1	1	4	1461	292	24	16	87.087418	5
5	1	1	1	1	5	1314	292	46	15	57.638859	a5‏
5	1	1	1	1	6	1070	293	9	34	92.385681	1
5	1	1	1	1	7	393	283	66	23	91.758148	الجمعة
5	1	1	1	1	8	375	285	10	16	94.272392	9
5	1	1	1	1	9	311	277	54	34	92.800880	جمادى
5	1	1	1	1	10	239	277	55	34	91.529648	الآخرة
5	1	1	1	1	11	156	285	75	16	63.672890	01445
4	1	1	1	2	0	1461	312	25	14	-1	
5	1	1	1	2	1	1461	312	25	14	89.064896	w‏
4	1	1	1	3	0	157	292	2049	123	-1	
5	1	1	1	3	1	2123	321	86	40	91.303185	للمملكة
5	1	1	1	3	2	2033	321	75	40	91.303185	العربية
5	1	1	1	3	3	1920	321	104	40	92.184372	السعودية
5	1	1	1	3	4	1645	324	30	62	70.642311	1
5	1	1	1	3	5	1566	292	17	88	42.540894	ا
5	1	1	1	3	6	1468	311	87	104	59.033127	لك
5	1	1	1	3	7	1397	292	16	87	56.914589	|
5	1	1	1	3	8	992	319	41	87	50.022896	Cc
5	1	1	1	3	9	1106	315	57	96	96.708534	6
5	1	1	1	3	10	1184	315	18	93	51.716965	|
5	1	1	1	3	11	1305	315	65	65	74.934891	O‏
5	1	1	1	3	12	925	301	50	77	95.685593	0
5	1	1	1	3	13	820	301	95	102	80.265198	10
5	1	1	1	3	14	690	324	31	63	94.050598	4
5	1	1	1	3	15	361	330	82	25	92.395065	الموافق
5	1	1	1	3	16	328	330	25	18	92.424866	22
5	1	1	1	3	17	239	318	77	42	92.796509	ديسمبر
5	1	1	1	3	18	157	330	73	26	88.798607	2023م
4	1	1	1	4	0	194	349	2013	72	-1	
5	1	1	1	4	1	2150	373	57	25	92.956100	تصدر
5	1	1	1	4	2	2112	368	28	55	93.303726	من
5	1	1	1	4	3	2060	373	147	25	93.213799	مكة
5	1	1	1	4	4	1965	372	86	26	90.651344	المكرمة
5	1	1	1	4	5	1574	388	42	33	93.013618	جريدة
5	1	1	1	4	6	1502	388	64	33	82.677582	أسبوعية.
5	1	1	1	4	7	194	376	129	23	74.079041	uqnnews
5	1	1	1	4	8	754	378	24	24	64.591209	-
5	1	1	1	4	9	790	349	34	54	91.191956	3
5	1	1	1	4	10	1313	389	128	32	73.538498	uqn.gov.sa‏
4	1	1	1	5	0	150	604	2000	28	-1	
5	1	1	1	5	1	2088	605	62	20	91.235802	السنة
5	1	1	1	5	2	2037	604	42	21	91.228706	102
5	1	1	1	5	3	2013	611	11	12	86.735123	٠‏
5	1	1	1	5	4	1940	605	56	21	91.075577	العدد
5	1	1	1	5	5	1873	604	58	21	95.719635	5012
5	1	1	1	5	6	678	606	31	18	96.914810	THE
5	1	1	1	5	7	718	595	71	41	95.332733	OFFICIAL
5	1	1	1	5	8	800	595	93	41	96.573166	NEWSPAPER
5	1	1	1	5	9	902	606	29	18	96.706940	FOR
5	1	1	1	5	10	940	606	31	18	96.963470	THE
5	1	1	1	5	11	981	595	101	41	96.710358	GOVERNMENT
5	1	1	1	5	12	1097	606	22	18	96.985413	OF
5	1	1	1	5	13	1125	606	77	18	95.197144	KINGDOM
5	1	1	1	5	14	1208	606	20	18	96.965836	OF
5	1	1	1	5	15	1237	595	47	41	94.301659	SAUDI
5	1	1	1	5	16	1292	595	56	41	93.068459	ARABIA
5	1	1	1	5	17	1358	616	4	3	76.669273	-
5	1	1	1	5	18	1371	606	112	19	90.488289	PUBLISHED
5	1	1	1	5	19	1470	595	18	41	95.243858	IN
5	1	1	1	5	20	1497	595	59	41	93.148697	MAKKAH
5	1	1	1	5	21	1565	595	113	41	90.987083	ALMUKARAMA‏
5	1	1	1	5	22	527	604	25	20	81.997177	12
5	1	1	1	5	23	451	605	67	19	91.662064	صفحة
5	1	1	1	5	24	422	613	5	11	90.305420	٠‏
5	1	1	1	5	25	338	604	52	28	87.491104	الثمن
5	1	1	1	5	26	322	604	8	28	92.996681	5
5	1	1	1	5	27	242	605	54	25	91.888290	ريالات
5	1	1	1	5	28	150	606	84	26	92.129730	سعودية
4	1	1	1	6	0	774	784	763	105	-1	
5	1	1	1	6	1	1513	860	24	21	6.162918	Cd‏
5	1	1	1	6	2	1347	784	35	99	73.007011	م
5	1	1	1	6	3	1061	861	16	23	81.554810	٠‏
5	1	1	1	6	4	903	784	35	99	66.688751	م
5	1	1	1	6	5	774	861	49	28	67.959427	٠‏
4	1	1	1	7	0	145	925	2074	44	-1	
5	1	1	1	7	1	2205	923	17	43	96.480255	©
5	1	1	1	7	2	2121	932	74	30	91.055038	الرياض
5	1	1	1	7	3	2092	923	17	43	89.859978	-
5	1	1	1	7	4	2021	932	198	30	90.743179	واس
5	1	1	1	7	5	431	925	55	44	94.907967	مما
5	1	1	1	7	6	364	925	48	44	92.457336	جاء
5	1	1	1	7	7	301	925	40	44	93.292648	في
5	1	1	1	7	8	145	925	132	44	90.554787	المجلس
4	1	1	1	8	0	1873	985	347	24	-1	
5	1	1	1	8	1	2178	981	42	39	93.148758	وافق
5	1	1	1	8	2	2132	981	40	39	93.305977	مجلس
5	1	1	1	8	3	2056	981	58	39	92.903374	الوزراء
5	1	1	1	8	4	1993	981	54	39	92.261322	برئاسة
5	1	1	1	8	5	1947	981	37	39	93.048119	خادم
5	1	1	1	8	6	1869	981	69	39	91.662369	الحرمين
4	1	1	1	9	0	1871	1030	347	25	-1	
5	1	1	1	9	1	2139	1030	79	25	91.649017	الشريفين
5	1	1	1	9	2	2083	1031	43	17	91.582642	الملك
5	1	1	1	9	3	2013	1032	59	21	93.224716	سلمان
5	1	1	1	9	4	1974	1034	28	20	93.299217	بن
5	1	1	1	9	5	1871	1031	92	23	86.463562	عبدالعزيز
4	1	1	1	10	0	279	1044	1941	79	-1	
5	1	1	1	10	1	2202	1073	18	25	94.380409	آل
5	1	1	1	10	2	2123	1083	64	17	52.790001	سعودء
5	1	1	1	10	3	2066	1078	40	25	93.240685	على
5	1	1	1	10	4	1989	1078	60	23	90.881271	تسمية
5	1	1	1	10	5	1538	1073	13	31	21.809402	Ee
5	1	1	1	10	6	1874	1078	45	16	20.788300	5١14
5	1	1	1	10	7	1937	1078	36	24	86.421265	ale‏
5	1	1	1	10	8	279	1044	79	79	38.348709	8
4	1	1	1	11	0	1539	1105	13	14	-1	
5	1	1	1	11	1	1539	1105	13	14	74.880440	=
4	1	1	1	12	0	1540	1119	679	30	-1	
5	1	1	1	12	1	2165	1115	54	38	91.239044	ب«عام
5	1	1	1	12	2	2113	1115	40	38	89.771004	الإبل
